,One-model US cap 70% / TH cap 30%,One-model US cap 70% / TH cap 30% + daily exposure,One-model US cap 70% / TH cap 40%,One-model US cap 70% / TH cap 40% + daily exposure,One-model US cap 80% / TH cap 30%,One-model US cap 80% / TH cap 30% + daily exposure,One-model US cap 80% / TH cap 40%,One-model US cap 80% / TH cap 40% + daily exposure
2008-11-14,8900.054278707938,8902.190945749418,8861.160015945905,8880.265731978689,8555.572438431367,8745.803301497754,8518.183594842067,8724.26324869982
2008-11-17,8650.01172372107,8777.139653962282,8612.210175737038,8755.522429126122,8284.6783753101,8607.344641445985,8248.473370187274,8586.145598701107
2008-11-18,8745.120830635382,8825.393109588318,8706.903644894595,8803.657041274613,8486.190962544537,8712.025125668844,8449.105324049764,8690.56826519364
2008-11-19,8408.637003528565,8655.606887834041,8371.890290885676,8634.28898615257,8133.02379905372,8530.74230894499,8097.481542013742,8509.731930206108
2008-11-20,8131.6461701067665,8513.043725419815,8096.109939323921,8492.076942674212,7820.196297680508,8366.679663408619,7786.0211330944185,8346.07335481918
2008-11-21,8510.143166181648,8711.16852144025,8472.952859911285,8689.713776963372,8213.336806754667,8576.986449640346,8177.443572558605,8555.862176134131
2008-11-24,9034.753842510745,8979.669997878982,8995.2709271333,8957.55396088383,8719.450250294267,8841.247385807603,8681.34524166521,8819.472263623313
2008-11-25,9116.002089551945,9020.046440837685,9076.164109972595,8997.830960666288,8751.972295680915,8857.735549654064,8713.725161942531,8835.919818744931
2008-11-26,9209.853992020775,9066.478446365636,9169.605868812967,9044.148608767713,8890.38573521812,8927.7785983817,8851.533718699684,8905.790358336963
2008-11-27,9296.52975970733,9109.141662320699,9255.902853406978,9086.706749451345,8974.054923600179,8969.789148408918,8934.837263026926,8947.697440514006
2008-11-28,9381.668687709142,9150.853063036478,9340.66971448276,9128.315419122267,9046.730115298007,9006.109471350968,9007.19485571022,8983.928310075178
2008-12-01,8697.542989032556,8817.20592873519,8659.533723942028,8795.490024636281,8387.028652063109,8677.73979962521,8350.37636436318,8656.367380533798
2008-12-02,8964.844043550793,8952.69525288267,8925.666642050594,8930.645652010271,8644.786688533648,8811.08602178241,8607.007968326854,8789.38518406933
2008-12-03,9068.641894175043,9004.523846889928,9029.010884106863,8982.346597328577,8744.878812057028,8862.094817154837,8706.662677664583,8840.268349798875
2008-12-04,9049.751174074874,8995.14526839869,9010.202718630331,8972.991117346406,8726.66251684147,8852.864584301582,8688.525989771328,8831.060850100726
2008-12-05,9135.612362687803,9037.81682088862,9095.688683955135,9015.557574032846,8809.458342042324,8894.861179634223,8770.959987615735,8872.954011952233
2008-12-08,9482.687785932325,9209.496833885225,9441.247347606153,9186.814756177131,9144.142691731578,9063.825644525032,9104.181727889621,9041.502333994953
2008-12-09,9207.741788924748,9075.98435587835,9167.502896287862,9053.631106167679,8879.012647812233,8932.424999750363,8840.210333004488,8910.425316076338
2008-12-10,9334.492582813908,9138.45288772928,9293.699774602077,9115.945784217547,9001.238262719871,8993.905435780593,8961.90180780271,8971.75433184333
2008-12-11,9134.692655812682,9040.650987750585,9094.772996305035,9018.3847606228,8808.571469977087,8897.6505170701,8770.076991284257,8875.736479524525
2008-12-12,9180.649395553573,9063.392795285177,9140.528899797608,9041.070557339968,8852.887490426576,8920.032606130218,8814.199345585865,8898.063443702058
2008-12-15,9134.178764892229,9040.45424480898,9094.261351147123,9018.188502239553,8808.0759256746,8897.456886109401,8769.583612567832,8875.543325457824
2008-12-16,9449.00576010117,9196.252544715073,9407.712516109103,9173.603086378216,9111.663160896076,9050.790846860275,9071.844136369928,9028.499639754
